編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLKLPHLFFAU17EA,69,62.42,住家用,木造,36年1月1日,一層,一層
RPSOMLKLPHLFFAU17EA,,62.41,住家用,木造,,一層,一層
RPTNMLRLPHLFFAU77DA,11,217.58,住家用,鋼筋混凝土造,94年8月17日,四層,一層 二層 三層 四層
RPSNMLQLPHLFFCU67CA,37,82.48,住家用,鋼筋混凝土造,68年3月1日,二層,一層 二層
RPPPMLOLQHLFFAU47EA,,130.38,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,三層
RPPPMLOLQHLFFAU47EA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPWOMLTKPHLFFAU38EA,34,241.82,住商用,鋼筋混凝土造,70年12月23日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPXOMLNJQHLFFAU67CA,,130.38,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,四層
RPXOMLNJQHLFFAU67CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPOPMLNJQHLFFAU86CA,,130.38,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,二層
RPOPMLNJQHLFFAU86CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPXOMLLJQHLFFAU47CA,28,87.19,住家用,鋼筋混凝土加強磚造,77年7月25日,一層,一層
RPOPMLLJQHLFFAU66CA,,130.38,見其他登記事項,鋼筋混凝土造,105年5月18日,六層,五層
RPOPMLLJQHLFFAU66CA,,51.54,共有部份,鋼筋混凝土造,105年5月18日,六層,
RPPPMLSKPHLFFAU47CA,16,45.39,住家用,鋼筋混凝土造,89年8月7日,十二層,十層
RPPPMLSKPHLFFAU47CA,16,11.80,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPPPMLSKPHLFFAU47CA,16,.39,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPPPMLSKPHLFFAU47CA,16,7.65,共有部份,鋼筋混凝土造,89年8月7日,十二層,
RPUOMLKLPHLFFAU17CA,33,189.31,住商用,鋼筋混凝土造,72年11月28日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUNMLTKPHLFFAU87CA,21,67.42,見其他登記事項,鋼筋混凝土造,84年11月4日,十層,四層
RPUNMLTKPHLFFAU87CA,21,10.36,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPUNMLTKPHLFFAU87CA,21,15.11,共有部份,鋼筋混凝土造,84年11月4日,十層,
