鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,房地(土地+建物),臺北市大安區潮州街78巷1~30號,55.38,住,,,1050405,土地2建物1車位0,二層，露台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0570906,144.01,4,2,2,有,無,35400000,245816,,0.0,0,含增建或未登記建物。,RPXNMLNKPHLFFFA78DA
大安區,房地(土地+建物),臺北市大安區四維路198巷38弄1~30號,19.39,住,,,1050424,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,101.59,2,2,1,有,有,21000000,206713,,0.0,0,含增建或未登記建物。,RPTOMLRJPHLFFFA78DA
北投區,房地(土地+建物),臺北市北投區大興街23巷31~60號,47.0,住,,,1050414,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770706,135.04,3,2,2,有,有,19900000,147364,,0.0,0,,RPOPMLLKPHLFFEA77DA
士林區,房地(土地+建物)+車位,臺北市士林區延平北路五段31~60號,14.83,商,,,1050620,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050112,125.36,2,2,1,有,無,18620000,173998,升降機械,27.83,1650000,,RPSNMLPJPHLFFEA28DA
士林區,房地(土地+建物)+車位,臺北市士林區延平北路五段31~60號,6.7,商,,,1050620,土地2建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050112,56.6,2,2,1,有,無,8360000,171094,升降機械,12.56,825000,,RPUNMLPJPHLFFEA48DA
松山區,房地(土地+建物),臺北市松山區八德路三段158巷20弄31~60號,17.96,住,,,1050521,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661019,89.34,3,1,1,有,有,8000000,89546,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLSKPHLFFDA98DA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段361~390號,5.39,商,,,1050623,土地3建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940531,43.68,1,1,1,有,有,12800000,293040,,0.0,0,,RPTOMLOKPHLFFDA38DA
大安區,車位,臺北市大安區臨江街61~90號,0.0,,,,1050426,土地0建物0車位1,一層,八層,其他,見使用執照,鋼筋混凝土造,0880823,38.05,0,0,0,有,有,350000,,坡道平面,6.99,350000,,RPQOMLMJQHLFFFA08DA
信義區,土地,福德段一小段811~840地號,59.77,其他,,,1050609,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,40154,,0.0,0,,RPROMLQJPHLFFDA28DA
信義區,車位,臺北市信義區信義路四段450巷1~30號,0.02,商,,,1050623,土地0建物0車位1,一層,十一層,其他,見使用執照,鋼筋混凝土造,0881231,3.15,0,0,0,有,有,1500000,,塔式車位,0.0,1500000,,RPVOMLRJPHLFFDA78DA
中山區,房地(土地+建物),臺北市中山區吉林路361~390號,5.9,住,,,1050615,土地1建物1車位0,二層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681219,34.19,1,1,1,有,無,4500000,131617,,0.0,0,,RPQNMLOJQHLFFCA87DA
