編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLOJPHLFFEF09CA,21,89.31,住家用,鋼筋混凝土造,84年7月15日,十六層,十層
RPXNMLOJPHLFFEF09CA,21,19.81,共有部份,鋼筋混凝土造,84年7月15日,十六層,
RPSNMLRJPHLFFEF88CA,34,94.93,住家用,鋼筋混凝土造,71年7月12日,五層,五層
RPRPMLRJPHLFFEF98CA,2,.55,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,一層
RPRPMLRJPHLFFEF98CA,2,.35,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPRPMLRJPHLFFEF98CA,2,.22,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPRPMLRJPHLFFEF98CA,2,.40,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,一層
RPRPMLRJPHLFFEF98CA,2,1.16,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPRPMLRJPHLFFEF98CA,2,.17,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPRPMLRJPHLFFEF98CA,2,89.62,住家用,鋼筋混凝土造,103年4月23日,十八層,五層
RPRPMLRJPHLFFEF98CA,2,.00,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPRPMLRJPHLFFEF98CA,2,61.30,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPSRMLLKPHLFFEF78CA,1,121.49,住家用,鋼筋混凝土造,104年4月30日,十五層,四層
RPSRMLLKPHLFFEF78CA,1,88.15,見其他登記事項,鋼筋混凝土造,104年4月30日,十五層,
RPSRMLLKPHLFFEF78CA,1,33.13,見其他登記事項,鋼筋混凝土造,104年4月30日,十五層,
RPWPMLNKPHLFFEF56CA,7,31.33,住家用,鋼筋混凝土造,98年2月18日,二十二層,二十二層
RPWPMLNKPHLFFEF56CA,7,13.28,共有部份,鋼筋混凝土造,98年2月18日,二十二層,
RPTPMLNKPHLFFEF88CA,21,74.86,住家用,鋼筋混凝土造,84年1月14日,十九層,十五層
RPTPMLNKPHLFFEF88CA,21,4.26,共有部份,鋼筋混凝土造,84年1月14日,十九層,
RPTPMLNKPHLFFEF88CA,21,4.17,共有部份,鋼筋混凝土造,84年1月14日,十九層,
RPVQMLKLPHLFFEF98CA,35,80.22,住家用,鋼筋混凝土造,70年1月14日,四層,三層 陽台
RPPNMLLLPHLFFEF18CA,19,93.07,住家用,鋼筋混凝土造,85年12月2日,十三層,八層
RPPNMLLLPHLFFEF18CA,19,5.36,共有部份,鋼筋混凝土造,85年12月2日,十六層,
RPPNMLLLPHLFFEF18CA,19,47.79,共有部份,鋼筋混凝土造,85年12月2日,十六層,
RPQRMLMJQHLFFEF68CA,22,69.11,住家用,鋼筋混凝土造,83年8月9日,十二層,六層
RPQRMLMJQHLFFEF68CA,22,11.17,共有部份,鋼筋混凝土造,83年8月9日,十四層,
RPPOMLLJPHLFFGF28CA,18,64.04,住家用,鋼筋混凝土造,87年9月4日,七層,六層
RPPOMLLJPHLFFGF28CA,18,57.11,共有部分,鋼筋混凝土造,87年9月4日,,
RPTNMLOJPHLFFGF88CA,17,74.63,國民住宅,鋼筋混凝土造,88年9月27日,七層,七層
RPTNMLOJPHLFFGF88CA,17,55.58,共有部分,鋼筋混凝土造,88年9月27日,七層,
RPVNMLOJPHLFFGF09CA,19,109.53,住家用,鋼筋混凝土造,86年1月28日,十七層,十一層
RPVNMLOJPHLFFGF09CA,19,21.84,共有部分,鋼筋混凝土造,86年1月28日,十七層,
RPVNMLOJPHLFFGF09CA,19,11.56,共有部分,鋼筋混凝土造,86年1月28日,十七層,
RPWNMLOJPHLFFGF56CA,41,66.80,商業用,加強磚造,64年5月3日,四層,一層 平台 騎樓
RPUOMLOJPHLFFGF09CA,8,24.93,共有部分,鋼筋混凝土造,97年3月3日,十四層,
RPQNMLQJPHLFFGF78CA,1,56.38,住家用,鋼筋混凝土造,104年4月30日,十五層,十四層
RPQNMLQJPHLFFGF78CA,1,24.16,見其他登記事項,鋼筋混凝土造,104年4月30日,十五層,
RPUOMLRJPHLFFGF76CA,22,57.05,住家用,鋼筋混凝土造,83年5月3日,七層,七層
RPUOMLRJPHLFFGF76CA,22,7.53,共有部分,鋼筋混凝土造,83年5月3日,七層,
RPUOMLRJPHLFFGF76CA,22,7.21,共有部分,鋼筋混凝土造,83年5月3日,七層,
RPWPMLNKPHLFFGF76CA,63,363.49,商業用,鋼筋混凝土加強磚造,42年5月1日,三層,一層 二層 三層 騎樓
RPSNMLSKPHLFFGF66CA,37,32.00,住家用,鋼筋混凝土造,68年4月4日,四層,四層 陽台
RPQRMLKLPHLFFGF78CA,4,87.43,住家用,鋼筋混凝土造,100年12月16日,十二層,八層
RPQRMLKLPHLFFGF78CA,4,65.05,見其他登記事項,鋼筋混凝土造,100年12月16日,十二層,
RPPNMLLLPHLFFGF38CA,3,27.85,見其他登記事項,鋼筋混凝土造,102年3月22日,十四層,十四層
RPPNMLLLPHLFFGF38CA,3,18.00,見其他登記事項,鋼筋混凝土造,102年3月22日,十四層,
RPROMLMLPHLFFGF78CA,15,82.66,住家用,鋼筋混凝土造,90年9月21日,五層,四層
RPROMLMLPHLFFGF78CA,15,17.25,共有部分,鋼筋混凝土造,90年9月21日,五層,
RPXNMLPLPHLFFGF96CA,,98.63,住家用,鋼筋混凝土造,104年12月30日,二十四層,二十二層
RPXNMLPLPHLFFGF96CA,,67.03,見其他登記事項,鋼筋混凝土造,104年12月30日,二十四層,
RPTNMLOJPHLFFHF98CA,38,96.60,住家用,鋼筋混凝土造,67年7月19日,四層,二層 陽台
RPVNMLOJPHLFFHF56CA,5,112.87,見其他登記事項,見其他登記事項,100年4月15日,十九層,十三層
RPVNMLOJPHLFFHF56CA,5,34.32,見其他登記事項,見其他登記事項,100年4月15日,十九層,
RPVNMLOJPHLFFHF56CA,5,1.32,見其他登記事項,見其他登記事項,100年4月15日,十九層,
RPVNMLOJPHLFFHF56CA,5,26.87,見其他登記事項,見其他登記事項,100年4月15日,十九層,
RPVNMLOJPHLFFHF56CA,5,48.38,見其他登記事項,見其他登記事項,100年4月15日,十九層,
RPUOMLOJPHLFFHF56CA,37,99.23,住家用,鋼筋混凝土造,67年9月30日,五層,陽台 五層
RPXOMLQJPHLFFHF07CA,45,96.00,商業用,加強磚造,60年5月4日,四層,一層 騎樓
RPPPMLQJPHLFFHF98CA,18,7.39,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPPPMLQJPHLFFHF98CA,18,70.33,住商用,鋼筋混凝土造,87年4月20日,十四層,一層 夾層
RPRPMLQJPHLFFHF56CA,21,55.32,住家用,鋼筋混凝土造,83年12月9日,六層,二層
RPRPMLQJPHLFFHF56CA,21,17.66,共有部分,鋼筋混凝土造,83年12月9日,六層,
RPWPMLQJPHLFFHF07CA,9,71.60,住家用,鋼筋混凝土造,96年3月21日,十四層,十一層
RPWPMLQJPHLFFHF07CA,9,28.42,共有部分,鋼筋混凝土造,96年3月21日,十四層,
RPQNMLQJPHLFFHF88CA,40,85.74,住家用,加強磚造,65年5月20日,四層,二層 陽台
RPXNMLQJPHLFFHF96CA,14,67.65,住家用,鋼筋混凝土造,91年6月13日,二十三層,二十三層
RPXNMLQJPHLFFHF96CA,14,21.15,共有部分,鋼筋混凝土造,91年6月13日,二十四層,
RPOPMLRJPHLFFHF98CA,18,33.42,住家用,鋼筋混凝土造,87年9月17日,十二層,十一層
RPOPMLRJPHLFFHF98CA,18,9.46,共有部分,鋼筋混凝土造,87年9月17日,十二層,
RPOPMLRJPHLFFHF98CA,18,15.88,共有部分,鋼筋混凝土造,87年9月17日,十二層,
RPOPMLOKPHLFFHF78CA,38,94.75,住家用,鋼筋混凝土造,67年9月15日,五層,一層 平台
RPXNMLRLPHLFFHF27CA,23,39.62,見其他登記事項,鋼筋混凝土造,82年6月4日,十層,地下一層
RPXNMLRLPHLFFHF27CA,23,.00,共有部分,鋼筋混凝土造,82年8月4日,十層,
RPTPMLLJPHLFFIF98CA,5,82.42,見其他登記事項,鋼筋混凝土造,100年11月1日,十四層,十層
RPTPMLLJPHLFFIF98CA,5,38.18,見其他登記事項,鋼筋混凝土造,100年11月1日,十四層,
RPTPMLLJPHLFFIF98CA,5,15.72,見其他登記事項,鋼筋混凝土造,100年11月1日,十四層,
RPTNMLRJPHLFFIF76CA,22,91.52,住家用,鋼筋混凝土造,83年9月27日,七層,三層
RPTNMLRJPHLFFIF76CA,22,26.50,共有部分,鋼筋混凝土造,83年9月27日,七層,
RPTNMLRJPHLFFIF76CA,22,.88,見其他登記事項,鋼筋混凝土造,83年9月27日,一層,一層
RPVPMLRJPHLFFIF17CA,10,112.82,住家用,鋼筋混凝土造,95年11月17日,十九層,十五層
RPVPMLRJPHLFFIF17CA,10,22.82,共有部分,鋼筋混凝土造,95年11月17日,二十一層,
RPVPMLRJPHLFFIF17CA,10,2.14,共有部分,鋼筋混凝土造,95年11月17日,二十一層,
RPVPMLRJPHLFFIF17CA,10,13.90,共有部分,鋼筋混凝土造,95年11月17日,二十一層,
RPVPMLRJPHLFFIF17CA,10,14.03,共有部分,鋼筋混凝土造,95年11月17日,二十一層,
RPVPMLRJPHLFFIF17CA,10,21.85,共有部分,鋼筋混凝土造,95年11月17日,二十層,
RPVNMLLKPHLFFIF09CA,11,115.26,住家用,鋼筋混凝土造,93年12月1日,十二層,十二層
RPVNMLLKPHLFFIF09CA,11,14.84,共有部分,鋼筋混凝土造,93年12月1日,十二層,
RPVNMLLKPHLFFIF09CA,11,45.93,共有部分,鋼筋混凝土造,93年12月1日,十三層,
RPPNMLQKPHLFFIF98CA,,87.15,住家用,鋼筋混凝土造,,四層,一層 平台
RPVNMLLLPHLFFIF56CA,9,202.67,商業用,鋼筋混凝土造,96年7月25日,七層,一層 二層
RPVNMLLLPHLFFIF56CA,9,78.33,共有部分,鋼筋混凝土造,96年7月25日,七層,
RPVNMLLLPHLFFIF56CA,9,34.08,共有部分,鋼筋混凝土造,96年7月25日,七層,
RPROMLPLPHLFFIF66CA,,92.08,見其他登記事項,鋼筋混凝土造,105年1月8日,十一層,四層
RPROMLPLPHLFFIF66CA,,54.64,見其他登記事項,鋼筋混凝土造,105年1月8日,十一層,
RPROMLPLPHLFFIF66CA,,20.87,見其他登記事項,鋼筋混凝土造,105年1月8日,十一層,
RPSOMLPLPHLFFIF76CA,,92.08,見其他登記事項,鋼筋混凝土造,105年1月8日,十一層,九層
RPSOMLPLPHLFFIF76CA,,54.64,見其他登記事項,鋼筋混凝土造,105年1月8日,十一層,
RPSOMLPLPHLFFIF76CA,,20.87,見其他登記事項,鋼筋混凝土造,105年1月8日,十一層,
RPSQMLPJPHLFFAF68DA,7,.39,見其他登記事項,鋼筋混凝土造,98年4月27日,十三層,二層
RPSQMLPJPHLFFAF68DA,7,.00,共有部份,鋼筋混凝土造,98年4月27日,十三層,
RPSQMLPJPHLFFAF68DA,7,27.98,住家用,鋼筋混凝土造,98年4月27日,十三層,十三層
RPSQMLPJPHLFFAF68DA,7,8.04,共有部份,鋼筋混凝土造,98年4月27日,十三層,
RPSQMLPJPHLFFAF68DA,7,7.70,共有部份,鋼筋混凝土造,98年4月27日,十三層,
