鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新莊區,建物,新北市新莊區建興街61~90號,0.0,住,,,1050619,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980921,62.14,2,1,1,有,有,無,19000,306,,0.0,0,,RPURMLQJPHLFFBF66CC
新莊區,建物,新北市新莊區中義街31~60號,0.0,住,,,1050620,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770426,109.54,3,2,2,有,無,無,20000,183,,0.0,0,,RPPTMLQJPHLFFBF98CC
新莊區,房地(土地+建物),新北市新莊區新泰路391~420號,5.18,住,,,1050619,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880503,35.33,1,0,1,有,有,無,10000,283,,0.0,0,,RPVTMLRJPHLFFBF07CC
新莊區,房地(土地+建物)+車位,新北市新莊區榮華路二段61~90號,13.2,住,,,1050619,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040601,82.52,2,1,1,有,有,無,22500,273,坡道平面,0.0,0,,RPXTMLRJPHLFFBF27CC
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道三段61~90號,24.11,商,,,1050618,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030826,225.17000000000002,2,2,2,有,有,有,35000,155,坡道平面,39.61,0,,RPQUMLRJPHLFFBF66CC
泰山區,房地(土地+建物)+車位,新北市泰山區信華一街1~30號,20.91,住,,,1050622,土地1建物1車位1,一層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030415,140.65,4,1,1,有,有,無,27000,192,坡道平面,31.38,0,,RPRUMLRJPHLFFBF76CC
新莊區,房地(土地+建物),新北市新莊區福德三街1~30號,3266.7,住,,,1050619,土地1建物1車位0,十層,17,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,157.44,3,2,2,有,有,無,28000,178,,0.0,0,,RPUUMLRJPHLFFBF07CC
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路一段541~570號,17.21,住,,,1050706,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,91.88,2,2,1,有,有,有,17000,185,坡道平面,37.78,0,,RPVNMLRJPHLFFEF76CC
淡水區,建物,新北市淡水區自強路271~300號,0.0,住,,,1050625,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670406,86.0,3,2,1,有,無,無,12000,140,,0.0,0,,RPWNMLRJPHLFFEF86CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段361~390號,38.19,其他,,,1050623,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040819,219.39,4,2,2,有,無,有,28000,128,坡道平面,0.0,0,,RPROMLRJPHLFFEF09CC
淡水區,房地(土地+建物),新北市淡水區中正東路一段105巷1~30號,8.04,住,,,1050706,土地1建物1車位0,十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990910,103.1,2,2,1,有,有,有,20000,194,,0.0,0,,RPXPMLRJPHLFFEF17CC
汐止區,房地(土地+建物),新北市汐止區汐萬路二段228巷31弄1~30號,0.0,,山坡地保育區,丙種建築用地,1050706,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850627,43.86,1,0,1,有,有,有,7338,167,,0.0,0,,RPPNMLRJPHLFFDF68CC
汐止區,建物,新北市汐止區橫科路21巷7弄1~30號,0.0,住,,,1050621,土地0建物1車位1,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801216,123.38,3,2,2,有,無,有,26000,211,坡道平面,0.0,0,,RPQPMLRJPHLFFDF98CC
永和區,建物,新北市永和區中和路571~600號,9.26,商,,,1050625,土地0建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850113,131.84,2,2,2,有,有,有,25000,190,,0.0,0,,RPVNMLRJPHLFFHF07CC
永和區,建物,新北市永和區中和路511~540號,9.02,商,,,1050617,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,118.92,2,2,1,有,有,有,30000,252,,0.0,0,,RPROMLRJPHLFFHF76CC
中和區,建物,新北市中和區中和路211~240號,0.0,商,,,1050616,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780203,180.81,4,2,2,有,有,無,28100,155,,0.0,0,,RPTPMLRJPHLFFHF07CC
樹林區,房地(土地+建物),新北市樹林區新興街1~30號,802.1,工,,,1050620,土地3建物1車位0,見其他登記事項,2,工廠,工業用,見其他登記事項,0870717,833.5,0,0,0,無,無,無,180000,,,0.0,0,,RPXOMLRJPHLFFIF47CC
土城區,房地(土地+建物),新北市土城區延吉街137巷1~30號,26.05,住,,,1050705,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691002,78.4,3,1,1,有,無,無,9000,115,,0.0,0,,RPQNMLRJPHLFFAF48CC
土城區,建物,新北市土城區中央路二段241~270號,38.08,住,,,1050616,土地0建物1車位0,一層,3,店面(店鋪),商業用,鋼筋混凝土造,,23.33,0,0,0,無,無,無,18000,772,,0.0,0,,RPRNMLRJPHLFFAF58CC
土城區,房地(土地+建物),新北市土城區廣明街90巷1~30號,20.41,住,,,1050609,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670218,71.85,4,1,2,有,無,有,17000,237,,0.0,0,,RPRPMLRJPHLFFAF98EC
新店區,建物,新北市新店區北新路一段271巷1~30號,0.0,住,,,1050620,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681214,88.28,3,2,2,有,無,無,22000,249,,0.0,0,,RPQQMLRJPHLFFCF98CC
三重區,房地(土地+建物),新北市三重區重新路五段511~540號,4.61,其他,,,1050619,土地1建物1車位0,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990304,52.69,1,1,1,有,有,有,17000,323,,0.0,0,,RPVOMLRJPHLFFGF07CC
三重區,車位,新北市三重區三和路四段1~30號,0.0,,,,1050422,土地0建物0車位1,,0,其他,停車空間,鋼筋混凝土造,0871031,39.33,0,0,0,有,有,無,3000,,坡道平面,21.06,3000,,RPPNMLSJPHLFFGF66EC
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~30號,0.0,商,,,1050707,土地1建物1車位0,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,79.58,2,2,1,有,有,無,18000,226,,0.0,0,,RPPNMLTJPHLFFDF88CC
汐止區,房地(土地+建物),新北市汐止區大同路二段211~240號,0.0,住,,,1050709,土地1建物1車位0,十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,56.44,1,1,1,有,有,有,18000,319,,0.0,0,,RPPNMLKKPHLFFDF08CC
林口區,房地(土地+建物)+車位,新北市林口區文林五街31~60號,25.56,住,,,1050710,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030327,117.97,2,2,1,有,有,有,16000,136,坡道平面,25.16,0,,RPRNMLKKPHLFFBF08CC
新莊區,建物,新北市新莊區五權二路1~30號,0.0,,工業區,丁種建築用地,1050616,土地0建物1車位0,六層,8,工廠,工業用,鋼筋混凝土造,0790207,291.02,0,0,0,無,無,無,38000,,,0.0,0,,RPPOMLLKPHLFFBF08CC
新莊區,房地(土地+建物)+車位,新北市新莊區中原路301~330號,29.67,住,,,1050619,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890718,181.05,4,2,2,有,有,無,28000,155,坡道平面,38.81,0,,RPRPMLLKPHLFFBF38CC
新莊區,房地(土地+建物),新北市新莊區立信三街31~60號,10.44,住,,,1050618,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941021,100.76,2,1,1,有,有,有,17500,174,坡道平面,0.0,0,,RPRQMLLKPHLFFBF48CC
新莊區,房地(土地+建物),新北市新莊區中港路391~420號,24.73,商,,,1050620,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690801,90.05,0,0,1,有,無,無,15000,167,,0.0,0,,RPSQMLLKPHLFFBF58CC
新莊區,房地(土地+建物),新北市新莊區榮華路二段91~120號,16.69,住,,,1050626,土地1建物1車位0,五層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040601,126.02000000000001,3,2,2,有,有,有,26200,208,,0.0,0,,RPQRMLLKPHLFFBF48CC
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道三段61~90號,10.79,商,,,1050626,土地1建物1車位1,十九層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951005,169.31,3,2,2,有,有,有,25500,151,坡道平面,48.65,0,,RPRRMLLKPHLFFBF58CC
新莊區,房地(土地+建物)+車位,新北市新莊區福德二街91~120號,33.13,住,,,1050627,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000524,199.16,4,2,2,有,有,無,28600,144,坡道平面,32.02,0,,RPSRMLLKPHLFFBF68CC
林口區,建物,新北市林口區中山路241~270號,77.0,住,,,1050615,土地0建物1車位0,一層,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010803,76.33,0,0,0,無,有,無,19000,249,,0.0,0,,RPURMLLKPHLFFBF88CC
新莊區,房地(土地+建物),新北市新莊區思源路301~330號,18.01,住,,,1050627,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0651220,62.2,0,0,0,無,無,無,15000,241,,0.0,0,,RPWRMLLKPHLFFBF09CC
新莊區,房地(土地+建物)+車位,新北市新莊區福美街90巷31~60號,40.35,住,,,1050627,土地1建物1車位1,十四層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020731,295.73,4,2,3,有,有,無,26400,89,坡道平面,46.48,0,,RPXRMLLKPHLFFBF56CC
汐止區,建物,新北市汐止區樟樹一路121~150號,0.0,住,,,1050621,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831231,125.82,0,0,0,無,有,無,25000,199,,0.0,0,,RPUNMLLKPHLFFDF68CC
新莊區,房地(土地+建物),新北市新莊區民安路207巷7弄1~30號,15.41,住,,,1050701,土地2建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801028,78.45,3,3,1,有,無,有,15000,191,,0.0,0,本案租金含增建,RPUNMLLKPHLFFBF58DC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路192巷1~30號,34.07,住,,,1050626,土地1建物1車位1,十層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1031117,241.26999999999998,4,2,2,有,有,無,38000,157,坡道平面,40.62,0,,RPQPMLLKPHLFFBF48EC
土城區,房地(土地+建物),新北市土城區金城路三段33巷1~30號,20.03,住,,,1050705,土地1建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0731114,86.9,0,0,0,無,無,無,28000,322,,0.0,0,,RPWOMLLKPHLFFAF68CC
中和區,房地(土地+建物)+車位,新北市中和區中山路二段361~390號,544.16,工,,,1050310,土地1建物1車位3,八層,10,廠辦,見其他登記事項,鋼筋混凝土造,0890412,406.65,0,0,0,無,有,無,70000,172,坡道機械,0.0,0,,RPWNMLLKPHLFFHF66CC
中和區,建物,新北市中和區連城路421~450號,0.0,住,,,1050621,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0690314,86.85,0,0,0,無,無,無,25000,288,,0.0,0,,RPPPMLMKPHLFFHF88CC
中和區,建物,新北市中和區景安路247巷1~30號,0.0,住,,,1050630,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970710,101.5,3,2,2,有,有,無,25000,246,,0.0,0,,RPRPMLMKPHLFFHF09CC
中和區,建物,新北市中和區景平路121~150號,0.0,住,,,1050705,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1020813,89.25,1,2,2,有,有,無,20000,224,,0.0,0,,RPUPMLMKPHLFFHF76CC
板橋區,房地(土地+建物),新北市板橋區中正路135巷1~30號,22.5,住,,,1050707,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690419,64.28,0,0,0,無,無,無,16000,249,,0.0,0,,RPRQMLMKPHLFFAF48CC
樹林區,房地(土地+建物),新北市樹林區學勤路361~390號,14.6,商,,,1050703,土地1建物1車位0,七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971030,132.27,3,2,2,有,有,有,22000,166,,0.0,0,,RPUOMLMKPHLFFIF76CC
三峽區,房地(土地+建物),新北市三峽區文化路301~330號,10.2,住,,,1050630,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920609,71.86,2,2,1,有,有,有,13000,181,,0.0,0,,RPXOMLMKPHLFFIF07CC
樹林區,房地(土地+建物)+車位,新北市樹林區學成路601~630號,14.56,商,,,1050702,土地1建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990128,174.73,3,2,2,有,有,有,22000,126,坡道平面,39.59,0,,RPOPMLMKPHLFFIF88CC
樹林區,房地(土地+建物),新北市樹林區太平路1~30號,117.0,工,,,1050704,土地1建物1車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,0790912,404.25,0,0,0,無,無,無,34000,,,0.0,0,,RPRPMLMKPHLFFIF56CC
板橋區,房地(土地+建物),新北市板橋區莊敬路75巷1~30號,46.18,住,,,1050112,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,186.63,0,0,0,無,無,無,93000,498,,0.0,0,雙方約定承租日於105年3月1日至110年3月1日止，租金總額含相關稅費，第四至五年租金為新台幣拾萬元含稅。撤銷原申報書序號C1FA10501210030，C3FA10504130022、05190009、05230005,RPVOMLMKPHLFFAF88EC
三重區,建物,新北市三重區中興北街121~150號,0.0,工,,,1050702,土地0建物1車位0,一層,5,店面(店鋪),工業用,鋼筋混凝土造,0751029,131.21,0,0,0,無,無,無,25000,191,,0.0,0,,RPXNMLMKPHLFFGF76CC
