鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,24.93,商,,,1050531,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,195.68,4,2,2,有,有,9350000,50480,坡道平面,31.26,1050000,,RPRRMLQLPHLFFBH56CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,19.17,商,,,1050531,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,161.78,3,2,2,有,有,7000000,45161,坡道平面,33.35,1200000,,RPSRMLQLPHLFFBH66CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,19.17,商,,,1050531,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,161.78,3,2,2,有,有,7150000,45550,坡道平面,33.35,1300000,,RPTRMLQLPHLFFBH76CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,13.8,商,,,1050531,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,126.67,2,2,1,有,有,5420000,44149,坡道平面,33.35,1300000,,RPURMLQLPHLFFBH86CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,13.8,商,,,1050531,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,126.84,2,2,1,有,有,5450000,44925,坡道平面,33.35,1250000,,RPVRMLQLPHLFFBH96CA
中壢區,房地(土地+建物)+車位,桃園市中壢區松信路1~30號,21.13,商,,,1050531,土地1建物1車位1,一層，見其他登記事項,十三層,店面(店鋪),商業用,鋼筋混凝土造,1041220,174.69,0,0,1,有,有,11020000,70185,坡道平面,33.35,1100000,,RPWRMLQLPHLFFBH07CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路六段121~150號,13.8,商,,,1050531,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041220,126.50999999999999,2,2,1,有,有,5620000,48519,坡道平面,33.35,1100000,,RPXRMLQLPHLFFBH17CA
中壢區,房地(土地+建物)+車位,桃園市中壢區環西路二段226巷1~30號,5.11,住,,,1050620,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980703,58.709999999999994,2,1,1,有,有,789858,13454,坡道平面,0.0,0,親屬間移轉(三等親),RPOPMLSLPHLFFBH88CA
中壢區,房地(土地+建物)+車位,桃園市中壢區新興路230巷1~30號,13.11,商,,,1050512,土地1建物1車位1,十層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040915,162.15,3,2,2,有,有,13600000,92621,坡道平面,33.13,1650000,,RPONNLTLPHLFFBH88CA
中壢區,房地(土地+建物)+車位,桃園市中壢區新興路230巷1~30號,13.11,商,,,1050501,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040915,165.47,3,2,2,有,有,13700000,91071,坡道平面,36.45,1950000,,RPUNNLTLPHLFFBH86CA
中壢區,房地(土地+建物)+車位,桃園市中壢區新興路230巷1~30號,13.11,商,,,1050527,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040915,165.47,3,2,2,有,有,14690000,101845,坡道平面,36.45,1550000,,RPPNMLLJQHLFFBH97CA
中壢區,房地(土地+建物)+車位,桃園市中壢區月德路176巷1~30號,40.23,,特定農業區,甲種建築用地,1050520,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040304,233.36,3,2,2,有,無,9000000,38567,坡道平面,89.5,0,,RPQNMLLJQHLFFBH08CA
大溪區,房地(土地+建物)+車位,桃園市大溪區勝利街97巷1~30號,28.86,住,,,1050613,土地1建物2車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840121,152.26999999999998,3,2,2,有,有,3710000,24365,坡道平面,0.0,0,,RPRNMLOJPHLFFCH48CA
龍潭區,土地,燈潭段571~600地號,61.48,,特定農業區,水利用地,1050615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,531760,8649,,0.0,0,,RPVNMLOJPHLFFCH88CA
大溪區,房地(土地+建物),桃園市大溪區環湖路二段548巷1~30號,9.35,其他,,,1050613,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710826,41.25,0,0,0,無,無,400000,9697,,0.0,0,,RPUOMLNKPHLFFCH88CA
龍潭區,土地,北龍段181~210地號,81.33,其他,,,1050617,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,539000,6627,,0.0,0,(包含)公共設施保留地之交易。,RPPPMLSKPHLFFCH98CA
大溪區,土地,僑愛段781~810地號,58.54,其他,,,1050627,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,115076,1966,,0.0,0,(包含)公共設施保留地之交易。,RPUPMLSKPHLFFCH86CA
大溪區,房地(土地+建物),桃園市大溪區埔頂六街151~180號,98.25,住,,,1050526,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931115,284.97,4,3,5,有,無,9300000,32635,,0.0,0,,RPRNMLQLPHLFFCH88CA
龍潭區,房地(土地+建物),桃園市龍潭區中央街189巷2弄2衖1~30號,55.39,,鄉村區,乙種建築用地,1050616,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671229,68.2,2,1,1,有,無,2750000,40323,,0.0,0,,RPPNMLRLPHLFFCH78CA
龍潭區,土地,三洽水段301~330地號,749.0,,山坡地保育區,丙種建築用地,1050606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,15354,,0.0,0,,RPUOMLTLPHLFFCH96CA
楊梅區,土地,上田段91~120地號,1641.27,,特定農業區,甲種建築用地,1050504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44683200,27225,,0.0,0,,RPVNMLOJPHLFFDH98CA
楊梅區,土地,上田段91~120地號,205.16,,特定農業區,甲種建築用地,1050504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5585400,27225,,0.0,0,,RPWNMLOJPHLFFDH09CA
新屋區,土地,中興段961~990地號,590.14,工,,,1050527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25617239,43409,,0.0,0,,RPSOMLRJPHLFFDH09CA
楊梅區,房地(土地+建物),桃園市楊梅區中正路91~120號,35.52,住,,,1050514,土地4建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720611,85.18,3,1,2,有,無,1800000,21132,,0.0,0,,RPVOMLRJPHLFFDH76CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區楊新北路188巷1~30號,31.63,住,,,1050521,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040525,174.24,3,2,2,有,有,7700000,44192,坡道平面,0.0,0,,RPPPMLMKPHLFFDH48CA
