編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLMKPHLFFHF76CC,3,12.11,見其他登記事項,見其他登記事項,102年8月13日,十五層,
RPRQMLMKPHLFFAF48CC,36,64.28,住家用,鋼筋混凝土造,69年4月19日,四層,
RPUOMLMKPHLFFIF76CC,8,132.27,住家用,鋼筋混凝土造,97年10月30日,二十七層,
RPXOMLMKPHLFFIF07CC,13,71.86,住家用,鋼筋混凝土造,92年6月9日,十二層,
RPOPMLMKPHLFFIF88CC,6,174.73,見其他登記事項,鋼筋混凝土造,99年1月28日,十九層,
RPRPMLMKPHLFFIF56CC,26,404.25,見其他登記事項,鋼筋混凝土造,79年9月12日,四層,
RPVOMLMKPHLFFAF88EC,,173.57,商業用,鋼筋混凝土造,,五層,
RPVOMLMKPHLFFAF88EC,,13.06,共有部分,鋼筋混凝土造,,五層,
RPXNMLMKPHLFFGF76CC,30,131.21,工業用,鋼筋混凝土造,75年10月29日,五層,
RPUOMLMKPHLFFDF88CC,2,318.38,工業用,見其他登記事項,103年10月13日,三十五層,
RPXNMLMKPHLFFEF56CC,3,43.59,住家用,鋼筋混凝土造,102年2月23日,十二層,
RPXNMLMKPHLFFEF56CC,3,3.08,住家用,鋼筋混凝土造,102年2月23日,十二層,
RPXNMLMKPHLFFEF56CC,3,3.91,住家用,鋼筋混凝土造,102年2月23日,十二層,
RPXNMLMKPHLFFEF56CC,3,18.75,見其他登記事項,鋼筋混凝土造,102年2月23日,十四層,
RPQOMLMKPHLFFEF58CC,7,111.72,見其他登記事項,鋼筋混凝土造,98年11月25日,八層,
RPQOMLMKPHLFFEF58CC,7,3.79,見其他登記事項,鋼筋混凝土造,98年11月25日,八層,
RPQOMLMKPHLFFEF58CC,7,61.09,見其他登記事項,鋼筋混凝土造,98年11月25日,八層,
RPXOMLMKPHLFFEF66CC,13,262.66,工業用,鋼筋混凝土造,92年4月3日,三層,
RPXOMLMKPHLFFEF66CC,13,262.66,工業用,鋼筋混凝土造,92年4月3日,三層,
RPXOMLMKPHLFFEF66CC,13,287.72,工業用,鋼筋混凝土造,92年4月3日,三層,
RPQPMLMKPHLFFEF68CC,7,32.82,住家用,鋼筋混凝土造,98年2月18日,二十二層,
RPQPMLMKPHLFFEF68CC,7,13.99,共有部分,鋼筋混凝土造,98年2月18日,二十二層,
RPRPMLMKPHLFFEF78CC,9,147.87,住家用,鋼筋混凝土造,96年4月30日,十四層,
RPRPMLMKPHLFFEF78CC,9,28.16,共有部分,鋼筋混凝土造,96年4月30日,十四層,
RPRPMLMKPHLFFEF78CC,9,19.00,共有部分,鋼筋混凝土造,96年4月30日,十四層,
RPRPMLMKPHLFFEF78CC,9,36.15,共有部分,鋼筋混凝土造,96年4月30日,十四層,
RPSPMLMKPHLFFEF88CC,1,81.04,住家用,鋼筋混凝土造,104年3月16日,十五層,
RPSPMLMKPHLFFEF88CC,1,21.15,見其他登記事項,鋼筋混凝土造,104年3月16日,十五層,
RPSPMLMKPHLFFEF88CC,1,47.78,見其他登記事項,鋼筋混凝土造,104年3月16日,十五層,
RPUPMLMKPHLFFEF09CC,4,103.80,住家用,鋼筋混凝土造,101年8月6日,十三層,
RPUPMLMKPHLFFEF09CC,4,25.35,見其他登記事項,鋼筋混凝土造,101年8月6日,十四層,
RPUPMLMKPHLFFEF09CC,4,48.04,見其他登記事項,鋼筋混凝土造,101年8月6日,十四層,
RPWPMLMKPHLFFEF66CC,1,72.56,住家用,鋼筋混凝土造,104年8月19日,十二層,
RPWPMLMKPHLFFEF66CC,1,16.79,見其他登記事項,鋼筋混凝土造,104年8月19日,十二層,
RPWPMLMKPHLFFEF66CC,1,46.81,見其他登記事項,鋼筋混凝土造,104年8月19日,十五層,
RPXPMLMKPHLFFEF76CC,8,35.07,見其他登記事項,鋼筋混凝土造,97年12月23日,二十四層,
RPXPMLMKPHLFFEF76CC,8,11.12,共有部份,鋼筋混凝土造,97年12月23日,二十四層,
RPXPMLMKPHLFFEF76CC,8,8.91,共有部份,鋼筋混凝土造,97年12月23日,二十四層,
RPOQMLMKPHLFFEF58CC,1,89.98,住家用,鋼筋混凝土造,104年8月19日,十五層,
RPOQMLMKPHLFFEF58CC,1,17.73,見其他登記事項,鋼筋混凝土造,104年8月19日,十五層,
RPOQMLMKPHLFFEF58CC,1,49.43,見其他登記事項,鋼筋混凝土造,104年8月19日,十五層,
RPPQMLMKPHLFFEF68CC,9,24.45,住家用,鋼筋混凝土造,96年10月26日,十四層,
RPPQMLMKPHLFFEF68CC,9,1.48,共有部份,鋼筋混凝土造,96年10月26日,十四層,
RPPQMLMKPHLFFEF68CC,9,1.96,共有部份,鋼筋混凝土造,96年10月26日,十四層,
RPPQMLMKPHLFFEF68CC,9,.03,共有部份,鋼筋混凝土造,96年10月26日,十四層,
RPPQMLMKPHLFFEF68CC,9,8.62,共有部份,鋼筋混凝土造,96年10月26日,十四層,
RPSQMLMKPHLFFBF68CC,4,225.27,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPSQMLMKPHLFFBF68CC,4,20.42,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPSQMLMKPHLFFBF68CC,4,38.35,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPSQMLMKPHLFFBF68CC,4,15.21,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPSQMLMKPHLFFBF68CC,4,44.99,見其他登記事項,鋼筋混凝土造,101年7月12日,十九層,
RPTQMLMKPHLFFBF78CC,2,227.27,見其他登記事項,鋼骨鋼筋混凝土造,103年5月13日,二十九層,
RPTQMLMKPHLFFBF78CC,2,.56,見其他登記事項,鋼骨鋼筋混凝土造,103年5月13日,二十九層,
RPTQMLMKPHLFFBF78CC,2,114.29,見其他登記事項,鋼骨鋼筋混凝土造,103年5月13日,二十九層,
RPROMLNKPHLFFBF48CC,40,68.62,住家用,鋼筋混凝土造,65年9月18日,四層,
RPSNMLNKPHLFFDF68CC,7,41.60,住家用,鋼筋混凝土造,98年12月8日,九層,
RPQOMLNKPHLFFGF88CC,24,196.37,工商用,鋼筋混凝土造,81年5月21日,十層,
RPQOMLNKPHLFFGF88CC,24,56.85,共有部分,鋼筋混凝土造,81年5月21日,十層,
RPQOMLNKPHLFFGF88CC,24,7.23,共有部分,鋼筋混凝土造,81年5月21日,十層,
RPXOMLNKPHLFFGF96CC,3,486.27,見其他登記事項,見其他登記事項,102年8月12日,十五層,
RPXOMLNKPHLFFGF96CC,3,367.47,見其他登記事項,見其他登記事項,102年8月12日,十五層,
RPTNMLNKPHLFFDF88DC,9,47.84,住家用,鋼筋混凝土造,96年1月30日,十二層,
RPSPMLNKPHLFFEF09DC,3,250.11,住家用,鋼筋混凝土造,102年10月21日,十五層,
RPTOMLNKPHLFFHF86EC,17,89.88,見其他登記事項,鋼筋混凝土造,88年9月15日,二十二層,
RPTOMLNKPHLFFHF86EC,17,23.00,共有部分,鋼筋混凝土造,88年9月15日,二十二層,
RPXNMLNKPHLFFIF07CC,11,350.28,見其他登記事項,鋼筋混凝土造,94年6月3日,七層,
RPVNMLNKPHLFFAF68CC,10,492.52,見其他登記事項,鋼骨鋼筋混凝土造,94年11月9日,十四層,
RPVNMLNKPHLFFAF68CC,10,431.95,見其他登記事項,鋼骨鋼筋混凝土造,94年11月9日,十四層,
RPVNMLNKPHLFFAF68CC,10,518.11,共有部份,鋼骨鋼筋混凝土造,94年11月9日,十四層,
RPSNMLOKPHLFFAF48CC,36,88.92,住家用,鋼筋混凝土造,69年12月18日,五層,
RPTNMLOKPHLFFAF58CC,20,31.75,住家用,鋼筋混凝土造,85年5月22日,十四層,
RPPOMLOKPHLFFAF28CC,9,48.93,住家用,鋼筋混凝土造,96年8月9日,十五層,
RPPOMLOKPHLFFAF28CC,9,5.27,共有部份,鋼筋混凝土造,96年8月9日,十五層,
RPROMLOKPHLFFAF48CC,28,22.83,共有部份,鋼筋混凝土造,77年7月22日,十二層,
RPROMLOKPHLFFAF48CC,28,92.99,住家用,鋼筋混凝土造,77年7月22日,十二層,
RPTOMLOKPHLFFIF86CC,2,810.41,見其他登記事項,鋼筋混凝土造,103年1月21日,四層,
RPTOMLOKPHLFFIF86CC,2,306.25,見其他登記事項,鋼筋混凝土造,103年1月21日,四層,
RPSNMLOKPHLFFHF56CC,10,109.30,住家用,鋼筋混凝土造,95年6月29日,二十八層,
RPSNMLOKPHLFFHF56CC,10,15.76,共有部分,鋼筋混凝土造,95年6月29日,二十八層,
RPSNMLOKPHLFFHF56CC,10,21.90,共有部分,鋼筋混凝土造,95年6月29日,二十八層,
RPSNMLOKPHLFFHF56CC,10,40.30,共有部分,鋼筋混凝土造,95年6月29日,二十八層,
RPOOMLOKPHLFFHF88CC,15,96.19,住家用,鋼筋混凝土造,90年11月16日,十一層,
RPOOMLOKPHLFFHF88CC,15,39.81,共有部分,鋼筋混凝土造,90年11月16日,十一層,
RPROMLOKPHLFFHF56CC,37,88.20,住家用,鋼筋混凝土造,68年7月19日,五層,
RPSOMLOKPHLFFHF66CC,45,100.19,住家用,加強磚造,60年5月21日,四層,
RPTOMLOKPHLFFHF76CC,8,25.84,住家用,鋼骨鋼筋混凝土造,97年5月1日,十九層,
RPTOMLOKPHLFFHF76CC,8,8.59,共有部分,鋼骨鋼筋混凝土造,97年5月1日,十九層,
RPTOMLOKPHLFFHF76CC,8,8.26,共有部分,鋼骨鋼筋混凝土造,97年5月1日,十九層,
RPVOMLOKPHLFFHF96CC,38,51.27,見其他登記事項,鋼筋混凝土造,67年8月15日,七層,
RPVOMLOKPHLFFHF96CC,38,21.05,見其他登記事項,鋼筋混凝土造,67年8月15日,七層,
RPQPMLOKPHLFFHF56CC,2,99.16,見其他登記事項,見其他登記事項,102年12月31日,十三層,
RPQPMLOKPHLFFHF56CC,2,65.54,見其他登記事項,見其他登記事項,102年12月31日,十三層,
RPSPMLOKPHLFFHF76CC,16,62.33,住家用,鋼筋混凝土造,89年1月5日,二十六層,
RPSPMLOKPHLFFHF76CC,16,6.86,共有部分,見其他登記事項,89年1月5日,二十六層,
RPSPMLOKPHLFFHF76CC,16,39.66,共有部分,見其他登記事項,89年1月5日,二十六層,
RPSPMLOKPHLFFHF76CC,16,2.86,共有部分,鋼筋混凝土造,89年1月5日,二十六層,
