鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,15.76,住,,,1050425,土地3建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,141.39000000000001,3,2,2,有,有,8210000,57441,坡道平面,15.87,1000000,,RPWNMLRLPHLFFCC98CA
暖暖區,房地(土地+建物),基隆市暖暖區八堵路151~180號,37.83,住,,,1050523,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021129,113.52000000000001,3,2,2,有,有,7000000,61663,,0.0,0,,RPRNMLSKPHLFFCC48CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路331~360號,15.76,住,,,1050524,土地3建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,141.39000000000001,3,2,2,有,有,7550000,52980,坡道平面,15.87,900000,,RPRNMLTKPHLFFCC58CA
安樂區,房地(土地+建物),基隆市安樂區麥金路181~210號,11.98,住,,,1050619,土地8建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,103.81,3,2,2,有,有,6100000,58761,,0.0,0,,RPQNMLKKPHLFFCC57CA
安樂區,房地(土地+建物),基隆市安樂區基金一路121巷31~60號,24.0,住,,,1050601,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850503,67.1,2,1,1,有,有,2800000,41729,,0.0,0,,RPUNMLNKPHLFFCC28CA
七堵區,房地(土地+建物),基隆市七堵區泰和街31~60號,35.18,住,,,1050616,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1011106,104.1,3,2,2,有,有,6500000,62440,,0.0,0,,RPSNMLPKPHLFFCC28CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東碇路331~360號,18.1,住,,,1050524,土地1建物1車位1,地下一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860623,123.91,3,2,2,有,有,5800000,46808,坡道平面,0.0,0,含增建或未登記建物。,RPQOMLQJPHLFFCC18CA
安樂區,房地(土地+建物),基隆市安樂區基金三路196巷31~60號,138.6,住,,,1050606,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0960917,186.92,3,2,2,有,無,12600000,67409,,0.0,0,,RPRRMLQJPHLFFCC58CA
七堵區,房地(土地+建物)+車位,基隆市七堵區綠葉街63巷1~30號,37.51,,山坡地保育區,丙種建築用地,1050516,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0880611,103.55000000000001,2,2,1,有,有,4850000,46837,其他,0.0,0,,RPQNMLRJPHLFFCC18CA
中正區,房地(土地+建物),基隆市中正區新豐街303巷19弄1~30號,28.67,住,,,1050531,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,93.11999999999999,3,2,1,有,無,2600000,27924,,0.0,0,,RPOOMLSKPHLFFBC18CA
