編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXNMLNJQHLFFAU77EA,愚堀段,467.00,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLNKPHLFFCU27EA,玉城段,13.00,都市：商
RPPNMLMKQHLFFAU76CA,大禮段,3767.00,非都市：國家公園區 ; 非都市編定：
RPVNMLOKPHLFFAU57DA,富國段,15.21,都市：商
RPQNMLTLPHLFFBU67CA,鳳信段,2511.11,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLQLPHLFFCU77CA,春日段,2840.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKPHLFFCU37EA,玉泉段,173.00,都市：農
RPWOMLTJQHLFFAU18CA,福德段,1276.00,都市：農
RPXOMLTJQHLFFAU28CA,福德段,1343.00,都市：農
RPQOMLTLPHLFFAU67CA,明義段,232.00,都市：商
RPQOMLTLPHLFFAU67CA,明義段,62.00,都市：商
RPRPMLLJQHLFFAU96CA,仁義段,37.70,都市：商
RPSPMLLJQHLFFAU07CA,仁義段,37.70,都市：商
RPTPMLLJQHLFFAU17CA,宜昌段,5.75,都市：住
RPTPMLLJQHLFFAU17CA,宜昌段,5.70,都市：住
RPVPMLPKPHLFFAU77CA,仁義段,81.00,都市：住
RPWNMLPKPHLFFAU67CA,慶豐段,27.47,都市：住
RPSOMLTKPHLFFAU77CA,宜安段,6.52,都市：住
RPVNMLKLPHLFFAU17CA,福德段,3113.00,都市：農
RPOOMLKLPHLFFAU56CA,仁禮段,215.00,都市：農
RPXOMLTKPHLFFAU28CA,民勤段,23.80,都市：住
RPSPMLTKPHLFFAU87CA,仁禮段,10.77,都市：住
RPSNMLKLPHLFFAU86CA,廣賢段,51.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSKPHLFFAU37CA,福興段,84.00,都市：住
RPTNMLSKPHLFFAU67CA,富國段,8.51,都市：住
RPXNMLSKPHLFFAU08CA,國風段,38.00,都市：住
RPPOMLSKPHLFFAU37CA,下水源段,214.26,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPOMLSKPHLFFAU37CA,下水源段,252.40,非都市：山坡地保育區 ; 非都市編定：養殖用地
RPPOMLSKPHLFFAU37CA,下水源段,664.02,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLPKPHLFFAU27CA,豐裡段,3258.74,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLPKPHLFFAU07CA,民德段,13.54,都市：住
RPRNMLLJQHLFFAU76CA,光學段,893.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKKQHLFFAU56CA,主權段,43.79,都市：住
RPXPMLKKQHLFFAU57CA,富國段,4.76,都市：住
RPPQMLKKQHLFFAU86CA,富國段,4.84,都市：住
RPSNMLLKQHLFFAU96CA,萬富段,1242.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLLPHLFFAU86CA,嘉南段,163.00,都市：住
RPUOMLPLPHLFFAU67CA,永興段,2753.88,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLLLPHLFFAU17CA,克來寶段,211.59,都市：住
RPSOMLKLPHLFFAU17EA,明義段,197.00,都市：住
RPSOMLKLPHLFFAU17EA,明義段,8.00,都市：其他
RPSOMLKLPHLFFAU17EA,明義段,192.00,都市：住
RPSOMLKLPHLFFAU17EA,明義段,16.00,都市：其他
RPPNMLSKPHLFFBU37CA,馬佛段,5107.61,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSKPHLFFBU47CA,馬佛段,6821.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPTPMLPKPHLFFAU67DA,慶豐段,164.00,都市：住
RPTPMLPKPHLFFAU67DA,慶豐段,19.33,都市：住
RPQNMLSKPHLFFCU77EA,太平段,8600.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLSKPHLFFCU97EA,源城段,312.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSKPHLFFCU97EA,源城段,174.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLPKPHLFFBU57EA,紅葉段,1121.00,非都市：風景區 ; 非都市編定：農牧用地
RPSNMLPKPHLFFBU57EA,紅葉段,238.00,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLSKPHLFFAU87DA,民享段,18.00,都市：商
RPTNMLRLPHLFFAU77DA,慈安段,113.00,都市：住
RPPNMLTKPHLFFCU57CA,東里段,287.37,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTKPHLFFCU57CA,東里段,1068.32,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTKPHLFFCU57CA,東里段,1460.51,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTKPHLFFCU57CA,東里段,985.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTKPHLFFCU57CA,東里段,344.76,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLTKPHLFFCU57CA,東里段,396.87,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLTKPHLFFCU57CA,東里段,862.45,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQLPHLFFCU67CA,玉昌段,86.00,都市：住
RPSNMLQLPHLFFCU67CA,玉昌段,7.00,都市：其他
RPPPMLOLQHLFFAU47EA,仁義段,37.70,都市：商
RPWOMLTKPHLFFAU38EA,宜安段,94.90,都市：住
RPPNMLSKPHLFFCU67EA,東竹段,2910.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLPLPHLFFAU37CA,嘉平段,145.00,都市：住
RPROMLPLPHLFFAU37CA,嘉平段,20.00,都市：其他
